log,iac_category,fault_category
"TASK [Push to API] ******************************************************
changed: [app-k3s-worker-03]
TASK [Synchronise NTP] ******************************************************
fatal: [app-k3s-worker-03]: FAILED! => {""changed"": false, ""msg"": ""JSON body parse error: unexpected token at position 9 in field 'vault_addr'"", ""rc"": 255, ""invocation"": {""module_args"": {""name"": ""envoy"", ""state"": ""started""}}}",Configuration Data,Typos
"TASK [Verify cluster quorum] ******************************************************
ok: [db-mysql-replica-02] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Synchronise NTP] ******************************************************
ok: [web-frontend-us-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Gathering Facts] ******************************************************
ok: [app-k3s-worker-04] => {""changed"": false}",SUCCESS,NONE
"TASK [Validate TLS certificate expiry] ******************************************************
ok: [kube-node-prod-02]",SUCCESS,NONE
"TASK [Snapshot volume before migration] ******************************************************
changed: [monitor-grafana-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Reload systemd unit files] ******************************************************
changed: [web-node-02] => {""changed"": false}",SUCCESS,NONE
"TASK [Update apt package cache] ******************************************************
changed: [ci-runner-build-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Copy configuration template] ******************************************************
changed: [vault-server-02] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Run pre-flight health checks] ******************************************************
ok: [storage-nas] => {""changed"": false}",SUCCESS,NONE
"TASK [Create application directory] ******************************************************
changed: [web-node-04]",SUCCESS,NONE
"TASK [Ping target hosts] ******************************************************
ok: [db-postgres-primary]",SUCCESS,NONE
"TASK [Create system group] ******************************************************
changed: [lb-external-ingress]",SUCCESS,NONE
"TASK [Create tmpfs mount] ******************************************************
changed: [redis-cache-02] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Snapshot volume before migration] ******************************************************
changed: [app-k3s-worker-04] => {""changed"": false}",SUCCESS,NONE
"TASK [Create tmpfs mount] ******************************************************
changed: [api-gateway-node-02]",SUCCESS,NONE
"TASK [Gathering Facts] ******************************************************
ok: [db-srv-main-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Tokenise Jinja2 expression] ******************************************************
changed: [api-gateway-node-03]
ERROR! Jinja2 TemplateSyntaxError: unexpected end of template at line 48 in group_vars/dbservers.yml

The error appears to be in 'group_vars/dbservers.yml': line 200, column 15",Syntax,Typos
"TASK [Install required Python packages] ******************************************************
changed: [lb-internal-mesh] => {""changed"": false}",SUCCESS,NONE
"TASK [Apply Kubernetes manifests] ******************************************************
changed: [api-gateway-node-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Check service registration] ******************************************************
ok: [redis-cache-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Rotate log files] ******************************************************
changed: [app-k3s-worker-04]",SUCCESS,NONE
"TASK [Run pre-flight health checks] ******************************************************
ok: [app-k3s-worker-05] => {""changed"": false}",SUCCESS,NONE
"TASK [Deploy containerised service] ******************************************************
changed: [db-srv-replica-02]

TASK [Wait for pod readiness] ******************************************************
ok: [db-srv-replica-02]
ERROR! kubectl rollout status timed out: deployment/rabbitmq not ready after 300s",Service,Dependency-related Faults
"TASK [Distribute secrets bundle] ******************************************************
changed: [jenkins-agent-01]
TASK [Validate TLS certificate expiry] ******************************************************
fatal: [jenkins-agent-01]: FAILED! => {""changed"": false, ""msg"": ""Unable to decrypt vault payload \u2014 check ANSIBLE_VAULT_PASSWORD_FILE"", ""rc"": 2, ""invocation"": {""module_args"": {""name"": ""kafka"", ""state"": ""started""}}}",Security,Variable Misreference
"TASK [Reload systemd unit files] ******************************************************
changed: [ingress-traefik-prod] => {""changed"": false}",SUCCESS,NONE
"TASK [Check disk free space] ******************************************************
ok: [app-k3s-worker-02] => {""changed"": false}",SUCCESS,NONE
"TASK [Validate network interface] ******************************************************
ok: [db-postgres-primary] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Parse host pattern expression] ******************************************************
ok: [db-mongo-shard-01]
ERROR! Invalid host pattern 'bind_address': range syntax requires two integers separated by ':'

The error appears to be in 'playbooks/bootstrap-cluster.yml': line 27, column 1",Syntax,Typos
"TASK [Copy configuration template] ******************************************************
changed: [storage-nfs-srv] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Set file ownership] ******************************************************
ok: [web-node-04]",SUCCESS,NONE
"TASK [Rotate log files] ******************************************************
changed: [storage-ceph-osd-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Rotate log files] ******************************************************
changed: [storage-block-01]",SUCCESS,NONE
"TASK [Load role-specific variables] ******************************************************
ok: [ci-runner-deploy-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Override defaults] ******************************************************
changed: [ingress-traefik-prod]
ERROR! vars file 'roles/common/tasks/main.yml' is not a valid YAML dictionary; expected mapping at top level

The error appears to be in 'roles/network/tasks/routes.yml': line 115, column 16",Configuration Data,Typos
"TASK [Configure rsyslog forwarding] ******************************************************
changed: [kube-node-prod-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Gathering Facts] ******************************************************
ok: [db-postgres-primary] => {""changed"": false}",SUCCESS,NONE
"TASK [Validate TLS certificate expiry] ******************************************************
ok: [ci-runner-deploy-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Create system group] ******************************************************
changed: [web-node-03]",SUCCESS,NONE
"TASK [Check disk free space] ******************************************************
ok: [ci-runner-build-01]",SUCCESS,NONE
"TASK [Validate network interface] ******************************************************
ok: [db-srv-replica-01]",SUCCESS,NONE
"TASK [Configure rsyslog forwarding] ******************************************************
changed: [bastion-host-prod] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Ensure log directory exists] ******************************************************
ok: [lb-external-ingress] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Run pre-flight health checks] ******************************************************
ok: [memcache-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Synchronise NTP] ******************************************************
ok: [kube-node-prod-02] => {""changed"": false}",SUCCESS,NONE
"TASK [Load role-specific variables] ******************************************************
ok: [monitor-grafana-01]",SUCCESS,NONE
"TASK [Snapshot volume before migration] ******************************************************
changed: [app-k3s-worker-04] => {""changed"": false}",SUCCESS,NONE
"TASK [Validate group membership] ******************************************************
changed: [kube-node-prod-01]
ERROR! No hosts matched pattern 'log_level' in inventory — check group name spelling",Configuration Data,Incorrect Detection/Analysis of User Input
"TASK [Snapshot volume before migration] ******************************************************
changed: [web-node-03] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Ensure log directory exists] ******************************************************
ok: [api-gateway-node-03] => {""changed"": false}",SUCCESS,NONE
"TASK [Configure firewall rules] ******************************************************
changed: [memcache-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Validate network interface] ******************************************************
ok: [monitor-grafana-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Flush pending handlers] ******************************************************
ok: [monitor-prometheus-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Configure firewall rules] ******************************************************
changed: [db-mysql-replica-02] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Load role-specific variables] ******************************************************
ok: [vault-server-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Verify target directory exists] ******************************************************
ok: [storage-ceph-osd-01]",SUCCESS,NONE
"TASK [Populate inventory from CMDB] ******************************************************
changed: [gitlab-runner-02]

TASK [Validate group membership] ******************************************************
changed: [gitlab-runner-02]
ERROR! No hosts matched pattern 'vault_addr' in inventory — check group name spelling

The error appears to be in 'group_vars/dbservers.yml': line 116, column 6",Configuration Data,Incorrect Detection/Analysis of User Input
"TASK [Create application directory] ******************************************************
changed: [kube-node-prod-02]",SUCCESS,NONE
"TASK [Rotate log files] ******************************************************
changed: [vault-server-02] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Reload systemd unit files] ******************************************************
changed: [ci-runner-build-01]",SUCCESS,NONE
"TASK [Drain Kafka consumer offsets] ******************************************************
ok: [db-mongo-shard-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Install pip requirements] ******************************************************
ok: [gitlab-runner-02]
TASK [Configure firewall rules] ******************************************************
fatal: [gitlab-runner-02]: FAILED! => {""changed"": false, ""msg"": ""Could not find a version that satisfies the requirement google-auth"", ""rc"": 1, ""invocation"": {""module_args"": {""name"": ""nginx"", ""state"": ""started""}}}",Dependency,Dependency-related Faults
"TASK [Create tmpfs mount] ******************************************************
changed: [ingress-traefik-prod]",SUCCESS,NONE
"TASK [Validate network interface] ******************************************************
ok: [redis-cache-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Create tmpfs mount] ******************************************************
changed: [web-frontend-us-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Snapshot volume before migration] ******************************************************
changed: [db-srv-replica-02] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Ensure log directory exists] ******************************************************
ok: [monitor-prometheus-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Synchronise NTP] ******************************************************
ok: [ingress-traefik-prod] => {""changed"": false}",SUCCESS,NONE
"TASK [Create tmpfs mount] ******************************************************
changed: [web-node-04]",SUCCESS,NONE
"TASK [Invalidate old session] ******************************************************
ok: [storage-nas]
TASK [Ping target hosts] ******************************************************
fatal: [storage-nas]: FAILED! => {""changed"": false, ""msg"": ""HTTP 403 received from auth endpoint \u2014 credentials may have been rotated already"", ""rc"": 126, ""invocation"": {""module_args"": {""name"": ""memcached"", ""state"": ""started""}}}",Security,Incorrect Detection/Analysis of User Input
"TASK [Validate network interface] ******************************************************
ok: [api-gateway-node-02]",SUCCESS,NONE
"TASK [Load role-specific variables] ******************************************************
ok: [lb-haproxy] => {""changed"": false}",SUCCESS,NONE
"TASK [Clone application repository] ******************************************************
ok: [memcache-01]

TASK [Checkout release branch] ******************************************************
ok: [memcache-01]
TASK [Create system group] ******************************************************
fatal: [memcache-01]: FAILED! => {""changed"": false, ""msg"": ""Failed to resolve remote ref 'storage_class' \u2014 branch or tag may not exist"", ""rc"": 255, ""invocation"": {""module_args"": {""name"": ""postgresql"", ""state"": ""started""}}}",Dependency,Variable Misreference
"TASK [Flush pending handlers] ******************************************************
ok: [memcache-01]",SUCCESS,NONE
"TASK [Load role-specific variables] ******************************************************
ok: [api-gateway-node-03]",SUCCESS,NONE
"TASK [Flush pending handlers] ******************************************************
ok: [app-k3s-worker-03]",SUCCESS,NONE
"TASK [Gathering Facts] ******************************************************
ok: [ci-runner-build-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Render Jinja2 template] ******************************************************
changed: [redis-cache-01]

TASK [Write config to target] ******************************************************
changed: [redis-cache-01]
TASK [Deploy SSL certificate] ******************************************************
fatal: [redis-cache-01]: FAILED! => {""changed"": false, ""msg"": ""AnsibleUndefinedVariable: 'bind_address' is undefined \u2014 verify group_vars/host_vars"", ""rc"": 127, ""invocation"": {""module_args"": {""name"": ""postgresql"", ""state"": ""started""}}}",Configuration Data,Variable Misreference
"TASK [Validate network interface] ******************************************************
ok: [bastion-host-prod]",SUCCESS,NONE
"TASK [Synchronise NTP] ******************************************************
ok: [vault-server-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Set MySQL bind address] ******************************************************
changed: [jenkins-agent-01]

TASK [Flush privileges] ******************************************************
ok: [jenkins-agent-01]
TASK [Drain Kafka consumer offsets] ******************************************************
fatal: [jenkins-agent-01]: FAILED! => {""changed"": false, ""msg"": ""Variable 'max_connections' rejected: value 27017 exceeds compiled-in limit"", ""rc"": 1, ""invocation"": {""module_args"": {""name"": ""consul"", ""state"": ""started""}}}",Configuration Data,Incorrect Detection/Analysis of User Input
"TASK [Write environment variables] ******************************************************
changed: [web-node-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Create system group] ******************************************************
changed: [kube-node-prod-02] => {""changed"": false}",SUCCESS,NONE
"TASK [Reload systemd unit files] ******************************************************
changed: [gitlab-runner-02]",SUCCESS,NONE
"TASK [Create system group] ******************************************************
changed: [redis-cache-01]",SUCCESS,NONE
"TASK [Ensure base packages are present] ******************************************************
ok: [db-srv-replica-01]",SUCCESS,NONE
"TASK [Install apt package] ******************************************************
ok: [ci-runner-deploy-01]

TASK [Pin version] ******************************************************
changed: [ci-runner-deploy-01]
TASK [Drain Kafka consumer offsets] ******************************************************
fatal: [ci-runner-deploy-01]: FAILED! => {""changed"": false, ""msg"": ""dpkg was interrupted; run 'dpkg --configure -a' to correct the problem"", ""rc"": 1, ""invocation"": {""module_args"": {""name"": ""cassandra"", ""state"": ""started""}}}",Service,State Mismanagement
"TASK [Configure firewall rules] ******************************************************
changed: [lb-external-ingress] => {""changed"": false}",SUCCESS,NONE
"TASK [Snapshot volume before migration] ******************************************************
changed: [ci-runner-deploy-01]",SUCCESS,NONE
"TASK [Distribute internal CA certificate] ******************************************************
changed: [storage-block-01]

TASK [Update trust store] ******************************************************
changed: [storage-block-01]
TASK [Ensure base packages are present] ******************************************************
fatal: [storage-block-01]: FAILED! => {""changed"": false, ""msg"": ""Destination roles/monitoring/tasks/alerts.yml is not writable by uid=25737; become escalation did not apply"", ""rc"": 1, ""invocation"": {""module_args"": {""name"": ""redis"", ""state"": ""started""}}}",Security,State Mismanagement
"TASK [Validate TLS certificate expiry] ******************************************************
ok: [web-node-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Create system group] ******************************************************
changed: [db-srv-main-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Apply Kubernetes manifests] ******************************************************
changed: [jenkins-agent-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Register node in inventory] ******************************************************
changed: [api-gateway-node-03]",SUCCESS,NONE
"TASK [Check task argument types] ******************************************************
changed: [db-mongo-shard-01]
ERROR! The field 'retries' is expected to be an integer but got string: 'registry_url'

The error appears to have been in 'roles/monitoring/tasks/metrics.yml': line 44, column 16, but may
be elsewhere in the file depending on the exact syntax problem.",Syntax,Typos
"TASK [Create tmpfs mount] ******************************************************
changed: [redis-cache-02] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Update apt package cache] ******************************************************
changed: [bastion-host-prod] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Create application directory] ******************************************************
changed: [db-srv-replica-02]",SUCCESS,NONE
"TASK [Reload alertmanager] ******************************************************
changed: [vault-server-01]
ERROR! YAML anchor '&smtp_password' referenced before definition in template playbooks/provision-infra.yml

The error appears to be in 'roles/web/tasks/install.yml': line 100, column 2",Configuration Data,Variable Misreference
"TASK [Register node in inventory] ******************************************************
changed: [storage-ceph-osd-01]",SUCCESS,NONE
"TASK [Ping target hosts] ******************************************************
ok: [jenkins-agent-01]",SUCCESS,NONE
"TASK [Apply Kubernetes manifests] ******************************************************
changed: [web-node-04]",SUCCESS,NONE
"TASK [Configure firewall rules] ******************************************************
changed: [ci-runner-deploy-01]",SUCCESS,NONE
"TASK [Gathering Facts] ******************************************************
ok: [kube-node-prod-02] => {""changed"": false}",SUCCESS,NONE
"TASK [Gathering Facts] ******************************************************
ok: [bastion-host-prod] => {""changed"": false}",SUCCESS,NONE
"TASK [Reload systemd unit files] ******************************************************
changed: [api-gateway-node-02] => {""changed"": false}",SUCCESS,NONE
"TASK [Configure firewall rules] ******************************************************
changed: [monitor-grafana-01]",SUCCESS,NONE
"TASK [Populate inventory from CMDB] ******************************************************
ok: [storage-ceph-osd-01]

TASK [Validate group membership] ******************************************************
ok: [storage-ceph-osd-01]
ERROR! No hosts matched pattern 'chart_version' in inventory — check group name spelling

The error appears to be in 'playbooks/rollback.yml': line 138, column 13",Configuration Data,Incorrect Detection/Analysis of User Input
"TASK [Update apt package cache] ******************************************************
changed: [monitor-loki-01]",SUCCESS,NONE
"TASK [Copy configuration template] ******************************************************
changed: [lb-haproxy] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Create application directory] ******************************************************
changed: [storage-ceph-osd-01]",SUCCESS,NONE
"TASK [Verify cluster quorum] ******************************************************
ok: [db-srv-replica-02] => {""changed"": false}",SUCCESS,NONE
"TASK [Verify target directory exists] ******************************************************
ok: [api-gateway-node-02] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Write environment variables] ******************************************************
changed: [lb-internal-mesh] => {""changed"": false}",SUCCESS,NONE
"TASK [Configure firewall rules] ******************************************************
changed: [app-k3s-worker-04] => {""changed"": false}",SUCCESS,NONE
"TASK [Synchronise NTP] ******************************************************
ok: [storage-nfs-srv]",SUCCESS,NONE
"TASK [Drain Kafka consumer offsets] ******************************************************
ok: [storage-block-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Flush pending handlers] ******************************************************
ok: [monitor-alertmanager-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Gathering Facts] ******************************************************
ok: [monitor-alertmanager-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Create system group] ******************************************************
changed: [app-k3s-worker-04] => {""changed"": false}",SUCCESS,NONE
"TASK [Write nginx upstream config] ******************************************************
ok: [ingress-nginx-01]

TASK [Reload service] ******************************************************
ok: [ingress-nginx-01]
TASK [Create system group] ******************************************************
fatal: [ingress-nginx-01]: FAILED! => {""changed"": false, ""msg"": ""Template rendering failed: recursive variable reference detected at 'registry_url'"", ""rc"": 127, ""invocation"": {""module_args"": {""name"": ""zookeeper"", ""state"": ""started""}}}",Configuration Data,Variable Misreference
"TASK [Pull container image] ******************************************************
changed: [db-srv-replica-02] => {""changed"": false}",SUCCESS,NONE
"TASK [Create application directory] ******************************************************
changed: [api-gateway-node-02]",SUCCESS,NONE
"TASK [Create application directory] ******************************************************
changed: [ingress-traefik-prod] => {""changed"": false}",SUCCESS,NONE
"TASK [Rotate log files] ******************************************************
changed: [web-frontend-eu-01]",SUCCESS,NONE
"TASK [Ping target hosts] ******************************************************
ok: [redis-cache-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Ensure log directory exists] ******************************************************
ok: [bastion-host-prod] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Set file ownership] ******************************************************
ok: [ingress-nginx-01]",SUCCESS,NONE
"TASK [Validate network interface] ******************************************************
ok: [storage-nas]",SUCCESS,NONE
"TASK [Load role-specific variables] ******************************************************
ok: [lb-external-ingress] => {""changed"": false}",SUCCESS,NONE
"TASK [Configure firewall rules] ******************************************************
changed: [web-node-02]",SUCCESS,NONE
"TASK [Reload systemd unit files] ******************************************************
changed: [memcache-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Populate inventory from CMDB] ******************************************************
ok: [memcache-01]

TASK [Validate group membership] ******************************************************
changed: [memcache-01]
ERROR! No hosts matched pattern 'storage_class' in inventory — check group name spelling",Configuration Data,Incorrect Detection/Analysis of User Input
"TASK [Ping target hosts] ******************************************************
ok: [ci-runner-deploy-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Ensure base packages are present] ******************************************************
ok: [vault-server-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Flush pending handlers] ******************************************************
ok: [storage-nfs-srv]",SUCCESS,NONE
"TASK [Gathering Facts] ******************************************************
ok: [web-frontend-eu-01]",SUCCESS,NONE
"TASK [Drain Kafka consumer offsets] ******************************************************
ok: [redis-cache-01]",SUCCESS,NONE
"TASK [Validate network interface] ******************************************************
ok: [storage-block-01]",SUCCESS,NONE
"TASK [Validate TLS certificate expiry] ******************************************************
ok: [lb-haproxy] => {""changed"": false}",SUCCESS,NONE
"TASK [Ensure base packages are present] ******************************************************
ok: [monitor-alertmanager-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Verify cluster quorum] ******************************************************
ok: [redis-cache-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Update apt package cache] ******************************************************
changed: [monitor-grafana-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Apply Kubernetes manifests] ******************************************************
changed: [storage-ceph-osd-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Check disk free space] ******************************************************
ok: [ingress-nginx-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Snapshot volume before migration] ******************************************************
changed: [app-k3s-worker-04] => {""changed"": false}",SUCCESS,NONE
"TASK [Deploy SSL certificate] ******************************************************
changed: [api-gateway-node-02]",SUCCESS,NONE
"TASK [Set cluster advertise address] ******************************************************
changed: [storage-nfs-srv]

TASK [Bootstrap etcd] ******************************************************
ok: [storage-nfs-srv]
TASK [Run pre-flight health checks] ******************************************************
fatal: [storage-nfs-srv]: FAILED! => {""changed"": false, ""msg"": ""IPv6 address 's3_bucket_name' used where IPv4 is required by module parameter 'bind_addr'"", ""rc"": 127, ""invocation"": {""module_args"": {""name"": ""redis"", ""state"": ""started""}}}",Configuration Data,Incorrect Detection/Analysis of User Input
"TASK [Validate notify handler name] ******************************************************
ok: [ingress-nginx-01]
ERROR! Handler 'istio-proxy' referenced in notify but no matching handler defined in play",Syntax,Typos
"TASK [Distribute secrets bundle] ******************************************************
ok: [ci-runner-build-01]
TASK [Copy configuration template] ******************************************************
fatal: [ci-runner-build-01]: FAILED! => {""changed"": false, ""msg"": ""Unable to decrypt vault payload \u2014 check ANSIBLE_VAULT_PASSWORD_FILE"", ""rc"": 126, ""invocation"": {""module_args"": {""name"": ""rabbitmq"", ""state"": ""started""}}}",Security,Variable Misreference
"TASK [Ensure log directory exists] ******************************************************
ok: [ingress-traefik-prod] => {""changed"": false}",SUCCESS,NONE
"TASK [Reload alertmanager] ******************************************************
ok: [bastion-host-prod]
ERROR! YAML anchor '&cluster_token' referenced before definition in template roles/common/tasks/main.yml

The error appears to be in 'roles/common/vars/main.yml': line 60, column 16",Configuration Data,Variable Misreference
"TASK [Write environment variables] ******************************************************
changed: [app-k3s-worker-04]",SUCCESS,NONE
"TASK [Checkout release branch] ******************************************************
ok: [ci-runner-deploy-01]
failed: [ci-runner-deploy-01] (item=haproxy) => {""changed"": false, ""msg"": ""Failed to resolve remote ref 'db_password' \u2014 branch or tag may not exist"", ""ansible_loop_var"": ""item"", ""item"": ""memcached""}",Dependency,Variable Misreference
"TASK [Update apt package cache] ******************************************************
changed: [monitor-alertmanager-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Set file ownership] ******************************************************
ok: [ingress-nginx-01]",SUCCESS,NONE
"TASK [Verify cluster quorum] ******************************************************
ok: [app-k3s-worker-03] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Copy configuration template] ******************************************************
changed: [vault-server-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Load role-specific variables] ******************************************************
ok: [db-srv-replica-02] => {""changed"": false}",SUCCESS,NONE
"TASK [Reload alertmanager] ******************************************************
changed: [monitor-grafana-01]
TASK [Configure firewall rules] ******************************************************
fatal: [monitor-grafana-01]: FAILED! => {""changed"": false, ""msg"": ""YAML anchor '&ingress_class' referenced before definition in template roles/storage/tasks/mounts.yml"", ""rc"": 127, ""invocation"": {""module_args"": {""name"": ""envoy"", ""state"": ""started""}}}",Configuration Data,Variable Misreference
"TASK [Pull container image] ******************************************************
changed: [storage-nas] => {""changed"": false}",SUCCESS,NONE
"TASK [Validate TLS certificate expiry] ******************************************************
ok: [api-gateway-node-03]",SUCCESS,NONE
"TASK [Apply Kubernetes manifests] ******************************************************
changed: [api-gateway-node-03] => {""changed"": false}",SUCCESS,NONE
"TASK [Render Jinja2 template] ******************************************************
changed: [kube-node-prod-02]

TASK [Write config to target] ******************************************************
changed: [kube-node-prod-02]
TASK [Update apt package cache] ******************************************************
fatal: [kube-node-prod-02]: FAILED! => {""changed"": false, ""msg"": ""AnsibleUndefinedVariable: 'chart_version' is undefined \u2014 verify group_vars/host_vars"", ""rc"": 127, ""invocation"": {""module_args"": {""name"": ""node-exporter"", ""state"": ""started""}}}",Configuration Data,Variable Misreference
"TASK [Synchronise NTP] ******************************************************
ok: [lb-internal-mesh]",SUCCESS,NONE
"TASK [Write prometheus scrape config] ******************************************************
ok: [web-frontend-eu-01]

TASK [Reload alertmanager] ******************************************************
changed: [web-frontend-eu-01]
TASK [Install required Python packages] ******************************************************
fatal: [web-frontend-eu-01]: FAILED! => {""changed"": false, ""msg"": ""YAML anchor '&smtp_password' referenced before definition in template roles/k8s/tasks/namespaces.yml"", ""rc"": 255, ""invocation"": {""module_args"": {""name"": ""k3s"", ""state"": ""started""}}}",Configuration Data,Variable Misreference
"TASK [Ensure base packages are present] ******************************************************
ok: [db-srv-replica-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Install runtime dependencies] ******************************************************
changed: [api-gateway-node-03]
TASK [Create system group] ******************************************************
fatal: [api-gateway-node-03]: FAILED! => {""changed"": false, ""msg"": ""Package 'requests-kerberos' has no installation candidate in the current apt sources"", ""rc"": 1, ""invocation"": {""module_args"": {""name"": ""kibana"", ""state"": ""started""}}}",Dependency,Dependency-related Faults
"TASK [Validate TLS certificate expiry] ******************************************************
ok: [db-postgres-primary] => {""changed"": false}",SUCCESS,NONE
"TASK [Copy configuration template] ******************************************************
changed: [web-node-02] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Write prometheus scrape config] ******************************************************
ok: [web-node-02]

TASK [Reload alertmanager] ******************************************************
changed: [web-node-02]
TASK [Write environment variables] ******************************************************
fatal: [web-node-02]: FAILED! => {""changed"": false, ""msg"": ""YAML anchor '&oauth_client_id' referenced before definition in template host_vars/web-node-01.yml"", ""rc"": 126, ""invocation"": {""module_args"": {""name"": ""etcd"", ""state"": ""started""}}}",Configuration Data,Variable Misreference
"TASK [Synchronise NTP] ******************************************************
ok: [storage-nfs-srv] => {""changed"": false}",SUCCESS,NONE
"TASK [Rotate log files] ******************************************************
changed: [lb-internal-mesh]",SUCCESS,NONE
"TASK [Update apt cache] ******************************************************
ok: [web-frontend-eu-01]

TASK [Install runtime dependencies] ******************************************************
ok: [web-frontend-eu-01]
TASK [Copy configuration template] ******************************************************
fatal: [web-frontend-eu-01]: FAILED! => {""changed"": false, ""msg"": ""Package 'selinux' has no installation candidate in the current apt sources"", ""rc"": 1, ""invocation"": {""module_args"": {""name"": ""node-exporter"", ""state"": ""started""}}}",Dependency,Dependency-related Faults
"TASK [Verify target directory exists] ******************************************************
ok: [memcache-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Deploy SSL certificate] ******************************************************
changed: [vault-server-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Install required Python packages] ******************************************************
changed: [app-k3s-worker-02] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Verify cluster quorum] ******************************************************
ok: [storage-nas] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Synchronise NTP] ******************************************************
ok: [lb-external-ingress]",SUCCESS,NONE
"TASK [Snapshot volume before migration] ******************************************************
changed: [memcache-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Ensure log directory exists] ******************************************************
ok: [api-gateway-node-02] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Validate TLS certificate expiry] ******************************************************
ok: [lb-external-ingress] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Apply Kubernetes manifests] ******************************************************
changed: [kube-node-staging-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Load role-specific variables] ******************************************************
ok: [api-gateway-node-02]",SUCCESS,NONE
"TASK [Synchronise NTP] ******************************************************
ok: [monitor-alertmanager-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Check service registration] ******************************************************
ok: [app-k3s-worker-03] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Verify target directory exists] ******************************************************
ok: [db-srv-main-01] => {""changed"": false}",SUCCESS,NONE
